"","name","fy","fp","AccountsPayableCurrent","AccountsReceivableNetCurrent","AccumulatedOtherComprehensiveIncomeLossNetOfTax","CashAndCashEquivalentsAtCarryingValue","CommonStockParOrStatedValuePerShare","CommonStockSharesAuthorized","CommonStockSharesIssued","CommonStockSharesOutstanding","ComprehensiveIncomeNetOfTax","DepreciationAndAmortization","DepreciationDepletionAndAmortization","NetIncomeLoss","OperatingIncomeLoss","PropertyPlantAndEquipmentNet","RetainedEarningsAccumulatedDeficit","WeightedAverageNumberOfSharesOutstandingBasic"
"3307","KEYSIGHT TECHNOLOGIES, INC.","2017","Q3",1.85e+08,4.79e+08,-522333333.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,150250000,NA,1.014e+09,1.76e+08
"3308","KEYSIGHT TECHNOLOGIES, INC.","2018","Q1",2.2e+08,NA,-524500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534500000,NA,NA
"3309","KEYSIGHT TECHNOLOGIES, INC.","2018","Q2",225500000,NA,-518666666.666667,NA,0.01,1e+09,NA,NA,NA,NA,1.15e+08,NA,110250000,NA,1.123e+09,NA
"3310","KEYSIGHT TECHNOLOGIES, INC.","2018","Q3",NA,NA,NA,NA,0.01,1e+09,189500000,NA,NA,NA,NA,NA,NA,539500000,1183500000,184750000
"3311","KEYSIGHT TECHNOLOGIES, INC.","2020","Q1",NA,NA,NA,1644500000,NA,NA,194500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3312","KEYSIGHT TECHNOLOGIES, INC.","2020","Q2",NA,576500000,-517333333.333333,1719500000,0.01,1e+09,194500000,NA,NA,NA,NA,NA,224500000,NA,NA,NA
"3313","KIBUSH CAPITAL CORP","2016","Q2",NA,NA,NA,NA,NA,NA,NA,51599458.0003333,NA,7047,NA,NA,-228261.75,78219.5,NA,NA
"3314","KIBUSH CAPITAL CORP","2017","Q3",NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,-401954.25,NA,98333,-12395856.5,NA
"3315","KIBUSH CAPITAL CORP","2018","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,4485,NA,NA,NA,119993.5,NA,NA
"3316","KIBUSH CAPITAL CORP","2019","Q2",NA,NA,NA,NA,NA,NA,443354541,443354541,NA,7594,NA,NA,-196622.25,109281.5,-13322412,NA
"3317","KILLER WAVES HAWAII, INC","2016","Q2",NA,NA,NA,NA,NA,NA,NA,15720000,NA,NA,NA,NA,-20176,NA,NA,NA
"3318","KILLER WAVES HAWAII, INC","2016","Q3",NA,NA,NA,15533.5,0.001,NA,NA,15720000,NA,NA,NA,NA,NA,NA,NA,NA
"3319","KINETIC GROUP INC.","2017","Q2",NA,NA,NA,NA,0.001,7.5e+07,NA,2750000,NA,NA,NA,NA,NA,NA,NA,NA
"3320","KINETIC GROUP INC.","2018","Q1",NA,2322.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3300,NA,NA
"3321","KINGFISH HOLDING CORP","2015","Q2",1594784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3322","KINGFISH HOLDING CORP","2016","Q3",NA,NA,NA,NA,1e-04,NA,NA,118835460,NA,NA,NA,NA,NA,NA,NA,118539649.75
"3323","KNIGHT KNOX DEVELOPMENT CORP.","2016","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38119.5,NA
"3324","KNIGHT KNOX DEVELOPMENT CORP.","2016","Q2",NA,NA,NA,10857.75,0.001,7.5e+07,7640000,7640000,NA,NA,NA,-9924.75,-9924.75,NA,-40664.5,NA
"3325","KNIGHT KNOX DEVELOPMENT CORP.","2016","Q3",NA,NA,NA,11982.75,0.001,NA,NA,7640000,NA,NA,NA,NA,NA,NA,NA,NA
"3326","KNIGHT KNOX DEVELOPMENT CORP.","2017","Q1",NA,NA,NA,NA,NA,7.5e+07,NA,7640000,NA,NA,NA,NA,-12368,NA,NA,NA
"3327","KNOW LABS, INC.","2018","Q3",NA,NA,NA,340222.2,0.001,NA,NA,NA,NA,NA,NA,-2660466.66666667,-1696158.5,156180.2,-31575123.8,5365937
"3328","KNOW LABS, INC.","2019","Q2",NA,NA,NA,857559.6,0.001,1e+08,14729964,14729964,NA,NA,NA,NA,NA,166691,NA,NA
"3329","KNOW LABS, INC.","2020","Q1",NA,NA,NA,1162082.75,NA,NA,18417117.5,18417117.5,NA,NA,NA,NA,-1063372,NA,NA,NA
"3330","KOKOS GROUP INC.","2017","Q1",401,NA,NA,NA,NA,2e+08,NA,1e+07,NA,NA,NA,NA,9051,NA,-5195,1e+07
"3331","KOKOS GROUP INC.","2017","Q2",2000,NA,NA,7323,0.001,NA,NA,221400000,NA,NA,NA,NA,NA,NA,-9822.75,267184743
"3332","KOKOS GROUP INC.","2018","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3987.5,-26792,NA,-26660.5,432800000
"3333","KOKOS GROUP INC.","2018","Q2",2750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30280.5,NA
"3334","KROGER CO","2011","Q2",NA,NA,-5.43e+08,NA,1,1e+09,9.59e+08,NA,NA,NA,NA,NA,NA,NA,8408500000,624500000
"3335","KROGER CO","2014","Q3",NA,NA,-597500000,331750000,1,1e+09,9.59e+08,NA,596750000,NA,NA,NA,1071750000,NA,NA,NA
"3336","KROGER CO","2015","Q2",NA,NA,-626500000,NA,NA,NA,NA,NA,5.83e+08,NA,NA,NA,NA,NA,NA,NA
"3337","KROGER CO","2016","Q2",NA,NA,-7.42e+08,2.97e+08,1,NA,1.918e+09,NA,NA,NA,6.57e+08,NA,1.151e+09,NA,NA,NA
"3338","KROGER CO","2017","Q2",NA,NA,NA,NA,NA,NA,NA,NA,476500000,NA,NA,NA,NA,NA,1.5639e+10,9.34e+08
"3339","KROGER CO","2018","Q2",NA,NA,-4.63e+08,NA,1,2e+09,NA,NA,NA,NA,738500000,NA,8.3e+08,NA,17965500000,NA
"3340","KURA SUSHI USA, INC.","2020","Q1",NA,NA,NA,35527000,NA,NA,NA,NA,NA,NA,NA,NA,-905500,NA,NA,NA
"3341","KUSH BOTTLES, INC.","2016","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40024.5,219018,-745987,NA
"3342","KUSH BOTTLES, INC.","2016","Q3",NA,NA,NA,177757.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3343","KUSH BOTTLES, INC.","2018","Q1",NA,NA,NA,2373464.25,NA,NA,NA,NA,NA,NA,NA,NA,7231,928317.5,NA,NA
"3344","KUSHCO HOLDINGS, INC.","2019","Q1",5184446,NA,NA,NA,0.001,2.65e+08,78415847.5,78415847.5,NA,NA,376226,NA,NA,NA,-14898641,68832655
"3345","KUSHCO HOLDINGS, INC.","2020","Q2",NA,NA,NA,10135000,0.001,265000,104579.5,104579.5,NA,NA,NA,-24791666.6666667,-31582250,NA,NA,NA
"3346","KWIK FILL CORP","2014","Q2",35179333.3333333,74411666.6666667,-3630750,97509500,NA,NA,NA,NA,NA,NA,14745500,NA,NA,196231666.666667,108109750,NA
"3347","KWIK FILL CORP","2015","Q3",NA,55697333.3333333,NA,NA,NA,NA,NA,NA,37377250,NA,NA,25885000,51448666.6666667,NA,NA,NA
"3348","LACLEDE GAS CO","2012","Q3",40036666.6666667,NA,-2216333.33333333,NA,NA,NA,11729.3333333333,NA,32207750,NA,NA,NA,56549500,NA,236389333.333333,NA
"3349","LACLEDE GAS CO","2015","Q2",92716666.6666667,28275000,NA,21033333.3333333,NA,NA,NA,NA,79400000,NA,NA,NA,NA,NA,NA,NA
"3350","LACLEDE GROUP INC","2010","Q3",86452000,NA,-2529666.66666667,71963000,NA,22202836.6666667,7e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3351","LACLEDE GROUP INC","2011","Q1",118672666.666667,NA,-6089333.33333333,NA,NA,22307151333.3333,7e+10,NA,22213500,NA,NA,23127500,40707500,NA,NA,NA
"3352","LACLEDE GROUP INC","2011","Q2",105082333.333333,NA,-5438000,NA,NA,22321392.3333333,7e+07,NA,NA,NA,NA,NA,NA,NA,377584000,22029500
"3353","LACLEDE GROUP INC","2012","Q3",93221666.6666667,NA,-3711666.66666667,53160250,NA,NA,NA,NA,NA,NA,NA,38441500,NA,5028000,405031333.333333,NA
"3354","LACLEDE GROUP INC","2013","Q1",94936666.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3355","LACLEDE GROUP INC","2014","Q1",NA,NA,-1701333.33333333,40379750,NA,7e+07,29337349.6666667,NA,30873000,NA,NA,NA,NA,NA,430639333.333333,NA
"3356","LACLEDE GROUP INC","2014","Q2",NA,NA,NA,NA,NA,7e+07,29372374.6666667,NA,54291250,NA,NA,NA,NA,NA,450057333.333333,NA
"3357","LACLEDE GROUP INC","2014","Q3",106425000,NA,-3350000,NA,1,6e+07,18987281.5,NA,45912500,NA,NA,NA,NA,NA,353900000,NA
"3358","LACLEDE GROUP INC","2016","Q1",NA,NA,NA,6391666.66666667,NA,NA,15119303.4444444,NA,42075000,NA,NA,NA,NA,NA,390011111.111111,NA
"3359","LANDAUER INC","2012","Q2",NA,NA,NA,10132750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3360","LANDAUER INC","2013","Q1",NA,NA,NA,NA,0.1,2e+07,9522223.5,9522223.5,NA,NA,2903000,NA,NA,NA,NA,NA
"3361","LANDAUER INC","2013","Q2",NA,NA,-6298000,13825000,0.1,2e+07,9527844,9527844,NA,NA,6003000,NA,12221500,54509500,NA,9379000
"3362","LANDAUER INC","2014","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3672000,NA,NA,NA,NA,NA
"3363","LANDAUER INC","2014","Q3",NA,NA,NA,NA,0.1,2e+07,9596252.5,9596252.5,NA,NA,11233500,-20670000,NA,NA,NA,NA
"3364","LANDAUER INC","2015","Q1",5964500,NA,NA,8824000,0.1,NA,NA,NA,NA,NA,3405000,4099000,NA,NA,NA,NA
"3365","LANDAUER INC","2015","Q2",6564000,NA,-8131750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3366","LANDAUER INC","2015","Q3",5436500,NA,NA,NA,NA,NA,9620702.5,NA,NA,NA,NA,NA,-21243250,46728500,-18195500,NA
"3367","LANDAUER INC","2016","Q3",NA,NA,NA,NA,NA,NA,NA,9686351,NA,NA,NA,NA,NA,NA,NA,9509750
"3368","LANDAUER INC","2017","Q1",2731000,NA,NA,12645250,NA,2e+07,NA,NA,NA,NA,2737500,NA,6847000,46235000,NA,NA
"3369","LANDAUER INC","2017","Q2",NA,NA,NA,12671750,NA,NA,NA,9771007.5,NA,NA,NA,NA,NA,NA,-8415000,9528000
"3370","LANDAUER INC","2017","Q3",NA,NA,-14250500,NA,NA,NA,NA,9769466,NA,NA,NA,NA,15328000,NA,-6561000,9550250
"3371","LANDEC CORP \CA\","2013","Q1",24684000,31123000,NA,11900750,0.001,5e+07,25677282,NA,NA,NA,1605500,3089000,NA,NA,NA,NA
"3372","LANS HOLDINGS, INC.","2012","Q3",NA,NA,NA,NA,0.001,9e+07,2150000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3373","LEAFBUYER TECHNOLOGIES, INC.","2018","Q2",243.5,NA,NA,NA,0.001,1.5e+08,NA,NA,NA,NA,NA,NA,-120174.777777778,NA,-604371,NA
"3374","LEAFBUYER TECHNOLOGIES, INC.","2018","Q3",NA,NA,NA,NA,0.001,1.5e+08,38551913,38441663,NA,NA,NA,-297737.4,NA,696.5,-814493.75,NA
"3375","LEARNING TREE INTERNATIONAL INC","2011","Q3",NA,NA,396500,39575000,NA,NA,13495718,13495718,NA,3910500,NA,NA,1903500,17648000,NA,13632750
"3376","LEARNING TREE INTERNATIONAL INC","2012","Q1",NA,NA,NA,38324000,NA,NA,NA,NA,NA,NA,NA,1899000,2890000,17322000,33326500,13506000
"3377","LEARNING TREE INTERNATIONAL INC","2012","Q3",NA,16663500,-306000,NA,1e-04,7.5e+07,13327317,13327317,-2910500,3354000,NA,NA,NA,17473500,28018000,13469250
"3378","LEARNING TREE INTERNATIONAL INC","2013","Q1",NA,NA,NA,34015000,1e-04,7.5e+07,13196354.5,NA,NA,1435000,NA,NA,NA,NA,NA,NA
"3379","LEARNING TREE INTERNATIONAL, INC.","2013","Q3",NA,NA,-440500,NA,NA,NA,NA,NA,-5760500,NA,NA,NA,NA,NA,NA,NA
"3380","LEARNING TREE INTERNATIONAL, INC.","2014","Q1",NA,NA,-127500,NA,1e-04,7.5e+07,13220011.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3381","LEARNING TREE INTERNATIONAL, INC.","2014","Q2",7236500,13972000,-36500,25502250,NA,NA,NA,13220011.5,NA,NA,3011000,-4480750,NA,NA,8036000,13216
"3382","LEARNING TREE INTERNATIONAL, INC.","2016","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1850500,6542500,-3739500,NA
"3383","LEARNING TREE INTERNATIONAL, INC.","2016","Q3",NA,NA,NA,18888500,1e-04,NA,NA,13224349,NA,NA,NA,NA,NA,NA,NA,13224000
"3384","LEARNING TREE INTERNATIONAL, INC.","2017","Q1",5805000,8402000,NA,12020000,NA,7.5e+07,NA,NA,NA,NA,572000,NA,-1387000,5605500,NA,NA
"3385","LEARNING TREE INTERNATIONAL, INC.","2017","Q2",6057500,8410500,NA,NA,NA,NA,13224349,13224349,NA,NA,NA,NA,NA,5436500,-16660000,13224000
"3386","LEARNING TREE INTERNATIONAL, INC.","2018","Q1",6314000,NA,-833000,6495250,NA,NA,NA,NA,NA,NA,NA,NA,-92500,4450500,NA,NA
"3387","LEE ENTERPRISES, INC","2012","Q3",27043500,NA,-5858000,NA,NA,NA,NA,NA,-75578250,NA,52370000,NA,NA,205162500,-332833500,47542750
"3388","LEE ENTERPRISES, INC","2013","Q1",NA,NA,NA,22296750,NA,NA,NA,NA,NA,NA,16097500,NA,NA,NA,NA,NA
"3389","LEE ENTERPRISES, INC","2013","Q2",NA,NA,-13528000,NA,NA,NA,NA,NA,-8985250,NA,31755500,NA,NA,181260500,NA,50096250
"3390","LEE ENTERPRISES, INC","2013","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-712500,NA,NA,NA,NA
"3391","LEE ENTERPRISES, INC","2014","Q1",NA,NA,7445500,NA,NA,NA,NA,NA,12969000,NA,NA,NA,NA,NA,NA,NA
"3392","LEE ENTERPRISES, INC","2014","Q2",21523500,NA,7224500,NA,NA,NA,NA,NA,3959750,NA,27054500,4361000,NA,NA,-414388000,51991250
"3393","LEE ENTERPRISES, INC","2014","Q3",NA,NA,7004000,15217500,NA,NA,NA,NA,978750,NA,NA,NA,58298500,NA,NA,NA
"3394","LEE ENTERPRISES, INC","2015","Q1",NA,NA,NA,15716000,NA,NA,NA,NA,NA,NA,NA,NA,38849500,NA,NA,NA
"3395","LEE ENTERPRISES, INC","2015","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7054250,NA,NA,NA,52494000
"3396","LEE ENTERPRISES, INC","2015","Q3",22887500,NA,NA,NA,NA,NA,NA,NA,1667500,NA,NA,NA,57140000,152943000,-407564500,NA
"3397","LEE ENTERPRISES, INC","2016","Q1",NA,NA,NA,13898500,NA,NA,NA,NA,10377500,NA,NA,NA,NA,NA,-385347500,NA
"3398","LEE ENTERPRISES, INC","2016","Q2",18289500,NA,-16319000,13914000,NA,NA,NA,NA,NA,NA,22472500,15761500,37965500,NA,NA,NA
"3399","LEE ENTERPRISES, INC","2016","Q3",NA,NA,NA,NA,NA,NA,NA,NA,13256500,NA,NA,NA,NA,NA,NA,52876250
"3400","LEE ENTERPRISES, INC","2018","Q2",16357500,NA,-16072500,13977250,NA,NA,NA,NA,NA,NA,18383000,NA,NA,NA,-309903000,NA
"3401","LEE ENTERPRISES, INC","2018","Q3",NA,NA,NA,NA,NA,NA,NA,NA,19388250,NA,27481000,19112250,NA,109404000,-307674000,54359750
"3402","LEE ENTERPRISES, INC","2019","Q1",12417000,NA,-11807000,NA,NA,NA,NA,NA,22634500,NA,7791000,NA,NA,NA,-274510500,NA
"3403","LEE ENTERPRISES, INC","2019","Q2",13204000,NA,NA,NA,NA,NA,NA,NA,11018750,NA,NA,NA,28953250,90132500,-275849500,55053000
"3404","LEE ENTERPRISES, INC","2019","Q3",NA,NA,NA,11386500,NA,NA,NA,NA,NA,15371750,NA,13787250,NA,NA,NA,55125750
"3405","LENNAR CORP /NEW/","2017","Q2",NA,NA,NA,NA,NA,NA,NA,NA,262398750,NA,NA,NA,NA,NA,4422729500,222492500
"3406","LEPOTA INC","2019","Q2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3377,-3377,NA,-29240,NA
"3407","LEVEL BRANDS, INC.","2018","Q1",283123,NA,16750,2564786.75,NA,NA,NA,NA,NA,NA,NA,NA,-996638.5,95800.5,NA,NA
"3408","LEVEL BRANDS, INC.","2018","Q2",240365,NA,-298288.5,NA,0.001,1.5e+08,NA,NA,NA,NA,72284,NA,NA,NA,-6121687,NA
"3409","LF GEORGE HOLDINGS, INC.","2015","Q1",NA,NA,NA,135264.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3410","LF GEORGE HOLDINGS, INC.","2015","Q2",NA,NA,NA,132780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3411","LIBERATED ENERGY, INC.","2013","Q1",NA,NA,NA,NA,NA,1e+08,NA,2.5e+07,NA,NA,NA,NA,NA,NA,NA,NA
"3412","LIBERATED ENERGY, INC.","2014","Q2",NA,19500,NA,74879.6666666667,NA,NA,NA,NA,NA,NA,NA,-73043,NA,NA,-118182,NA
"3413","LIBERATED ENERGY, INC.","2014","Q3",NA,19500,NA,59252,NA,1e+08,52136000,NA,NA,NA,NA,NA,-106106.4,NA,NA,NA
"3414","LIBERATED ENERGY, INC.","2016","Q3",NA,NA,NA,46096.25,0.001,NA,NA,1456076.66666667,NA,NA,NA,NA,NA,NA,NA,NA
"3415","LIBERATOR MEDICAL HOLDINGS, INC.","2011","Q3",NA,NA,NA,NA,NA,NA,46420500,46331500,NA,336750,5064000,NA,1558500,1785000,NA,43458500
"3416","LIBERATOR MEDICAL HOLDINGS, INC.","2012","Q3",4998000,8950500,NA,NA,0.001,2e+08,48183500,48094500,NA,385000,6422000,NA,NA,1459000,-9347000,48001500
"3417","LIBERATOR MEDICAL HOLDINGS, INC.","2013","Q1",NA,NA,NA,NA,0.001,2e+08,48249000,48160000,NA,181500,2216500,NA,NA,NA,NA,NA
"3418","LIBERATOR MEDICAL HOLDINGS, INC.","2014","Q1",NA,NA,NA,NA,0.001,2e+05,52697,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3419","LIBERATOR MEDICAL HOLDINGS, INC.","2014","Q2",5327.5,8491.5,NA,8096.75,NA,NA,NA,52548.5,NA,NA,4855.5,2384.5,NA,NA,-4564.5,50346
"3420","LIBERATOR MEDICAL HOLDINGS, INC.","2014","Q3",NA,8417000,NA,NA,0.001,2e+08,52800500,52623500,NA,337750,7349000,5251000,NA,NA,NA,51658000
"3421","LIBERATOR MEDICAL HOLDINGS, INC.","2015","Q1",6136000,9236000,NA,12215750,0.001,NA,NA,NA,NA,145000,2599500,NA,NA,NA,NA,NA
"3422","LIBERATOR MEDICAL HOLDINGS, INC.","2015","Q3",5776000,NA,NA,NA,0.001,2e+08,53664500,53310500,NA,300500,8134500,NA,NA,NA,NA,NA
"3423","LIBERTY COAL ENERGY CORP.","2011","Q3",NA,NA,NA,NA,NA,NA,NA,58233333.5,NA,NA,NA,NA,-125937.4,NA,NA,66771907
"3424","LIBERTY COAL ENERGY CORP.","2012","Q2",NA,NA,NA,126053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3425","LIBERTY COAL ENERGY CORP.","2012","Q3",NA,NA,NA,NA,0.001,1.5e+09,59566667,59566667,NA,NA,NA,NA,NA,NA,NA,NA
"3426","LIBERTY COAL ENERGY CORP.","2013","Q1",NA,NA,NA,NA,0.001,1.5e+09,316287267,316287267,NA,NA,1548,-689145.333333333,NA,NA,NA,NA
"3427","LIBERTY COAL ENERGY CORP.","2014","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1407.33333333333,NA,NA,NA,NA,NA
"3428","LIBERTY ENERGY CORP.","2012","Q1",101527.5,NA,NA,58316.4,NA,NA,NA,NA,NA,NA,NA,-235583.333333333,NA,NA,NA,61476802.5
"3429","LICONT, CORP.","2012","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2590000
"3430","LICONT, CORP.","2012","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2590000
"3431","LICONT, CORP.","2014","Q1",NA,NA,NA,NA,0.001,7.5e+07,2620000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3432","LICONT, CORP.","2014","Q2",NA,NA,NA,55847,NA,NA,NA,NA,NA,NA,NA,-171892.2,NA,NA,NA,2630000
"3433","LIFE CLIPS, INC.","2017","Q3",NA,9062,NA,165483,NA,NA,NA,NA,NA,NA,NA,-230649,NA,NA,-18441606,NA
"3434","LIFE CLIPS, INC.","2018","Q3",NA,NA,NA,187200.5,NA,NA,NA,NA,NA,NA,NA,-75735,-797523,NA,-17898926,NA
"3435","LIFEVANTAGE CORP","2016","Q3",NA,NA,NA,NA,NA,NA,NA,13983000,3039750,NA,NA,NA,NA,NA,NA,13787000
"3436","LIMONEIRA CO","2011","Q3",NA,NA,-712000,NA,NA,NA,11199850.5,11199850.5,4090750,1692500,NA,NA,5412000,51307500,NA,11204000
"3437","LIMONEIRA CO","2013","Q1",3939000,5904500,NA,NA,0.01,19900000,11220132.5,NA,NA,531000,NA,-2965500,NA,NA,NA,NA
"3438","LIMONEIRA CO","2013","Q2",4765500,NA,-2342500,NA,0.01,19900000,12254555.5,12605398.6666667,734250,811000,NA,NA,-759000,54040500,NA,11826750
"3439","LIMONEIRA CO","2014","Q1",NA,NA,484000,NA,0.01,19900000,14033200.5,NA,-1491000,NA,NA,-2170500,NA,NA,NA,NA
"3440","LIMONEIRA CO","2014","Q2",5269500,8798500,709000,NA,NA,NA,NA,NA,1517500,NA,NA,1223750,926750,89239500,18953000,13248000
"3441","LIMONEIRA CO","2014","Q3",NA,8612000,NA,NA,0.01,19900000,14047044,14047044,NA,1413750,NA,7838750,NA,NA,NA,13473250
"3442","LIMONEIRA CO","2015","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1671250,NA,NA,NA,14080500
"3443","LIMONEIRA CO","2016","Q1",6647000,8132000,NA,NA,NA,NA,14153528,NA,-3870000,NA,NA,NA,NA,NA,24827500,NA
"3444","LIMONEIRA CO","2017","Q2",NA,12051000,NA,NA,NA,NA,NA,14272616,2491000,NA,NA,NA,NA,NA,31605000,14209500
"3445","LIMONEIRA CO","2018","Q1",5680500,NA,8721500,NA,NA,NA,NA,NA,NA,1633500,NA,NA,NA,188393000,NA,NA
"3446","LIMONEIRA CO","2018","Q3",6555000,12970000,NA,NA,NA,NA,NA,NA,14619000,NA,NA,12162000,14950250,206521500,NA,14902250
"3447","LIMONEIRA CO","2019","Q2",NA,NA,NA,NA,0.01,NA,17709944,17709944,7416500,NA,NA,NA,2998000,228136500,55055500,15947500
"3448","LIMONEIRA CO","2020","Q1",NA,NA,NA,NA,NA,NA,17806943.5,17806943.5,NA,NA,NA,NA,NA,NA,NA,NA
"3449","LINCOLNWAY ENERGY, LLC","2011","Q3",NA,NA,NA,3638193.25,NA,NA,NA,NA,NA,NA,6272802,NA,-483912.25,47464179.5,NA,NA
"3450","LINCOLNWAY ENERGY, LLC","2012","Q1",NA,7253672,NA,2388045.25,NA,NA,NA,NA,NA,NA,NA,1037379,1149598.5,43799095,NA,NA
"3451","LINCOLNWAY ENERGY, LLC","2012","Q2",NA,7330836,NA,2184685.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,42906851.5,NA,NA
"3452","LINCOLNWAY ENERGY, LLC","2012","Q3",NA,7192354.5,NA,NA,NA,NA,NA,NA,NA,NA,6078474,NA,-4283149.75,41947876,10744807,NA
"3453","LINCOLNWAY ENERGY, LLC","2013","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965270.5,NA,NA,NA,NA,NA
"3454","LINCOLNWAY ENERGY, LLC","2014","Q3",NA,4964961.5,NA,4771704.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3455","LINCOLNWAY ENERGY, LLC","2016","Q1",NA,NA,NA,9084670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1353932,NA
"3456","LINCOLNWAY ENERGY, LLC","2017","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541436,NA,NA,NA
"3457","LINCOLNWAY ENERGY, LLC","2017","Q2",NA,2992480.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-137677,NA
"3458","LINCOLNWAY ENERGY, LLC","2018","Q1",NA,NA,NA,934805,NA,NA,NA,NA,NA,NA,NA,NA,593440,41760658,NA,NA
"3459","LINCOLNWAY ENERGY, LLC","2018","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974595.5,NA,204424.25,NA,1811825.5,NA
"3460","LINCOLNWAY ENERGY, LLC","2019","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46465050,NA,NA
"3461","LINDSAY CORP","2012","Q1",NA,NA,3705666.66666667,95212750,NA,NA,NA,NA,NA,NA,NA,3603500,5846500,57411333.3333333,NA,12592000
"3462","LINDSAY CORP","2012","Q3",37979666.6666667,NA,4044333.33333333,NA,1,2.5e+07,18352000,NA,23702500,9102000,NA,NA,37889500,NA,311507333.333333,12629000
"3463","LINDSAY CORP","2013","Q1",NA,NA,NA,128128750,1,2.5e+07,18531000,NA,NA,3127500,NA,NA,NA,NA,NA,NA
"3464","LINDSAY CORP","2013","Q2",NA,NA,1085333.33333333,129036750,1,2.5e+07,18553000,NA,20752500,6237500,NA,NA,31033750,56761666.6666667,NA,12759000
"3465","LINDSAY CORP","2014","Q1",NA,NA,-1528666.66666667,NA,1,2.5e+07,18620000,NA,12942500,NA,NA,12481000,NA,NA,NA,NA
"3466","LINDSAY CORP","2016","Q2",NA,NA,-14378333.3333333,141905500,NA,NA,18690666.6666667,NA,2277500,6265750,NA,NA,10833500,NA,NA,NA
"3467","LINDSAY CORP","2016","Q3",42059666.6666667,NA,NA,139112750,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3468","LIQUIDITY SERVICES INC","2011","Q3",NA,NA,-2738500,55489250,NA,NA,29543218.5,27495950,NA,2329750,4045000,NA,6950750,7382500,NA,27387171
"3469","LIQUIDITY SERVICES INC","2012","Q1",NA,NA,NA,82031666.6666667,NA,NA,NA,NA,NA,NA,NA,NA,10016500,7451500,62893000,28800298.5
"3470","LIQUIDITY SERVICES INC","2012","Q3",7065000,9069500,41500,NA,0.001,1.2e+08,31327161.5,29993600,17201000,2706250,7358500,NA,34714500,NA,79705500,29334662.5
"3471","LIQUIDITY SERVICES INC","2013","Q1",NA,17875500,NA,75337000,0.001,1.2e+08,31319746,NA,NA,1756500,3871500,NA,NA,NA,NA,NA
"3472","LIQUIDITY SERVICES INC","2014","Q3",NA,24178500,556000,80041500,0.001,1.2e+08,32204222,30722733,22236750,3941750,NA,NA,37024000,11490500,NA,NA
