name,fy,fp,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,CashAndCashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,ComprehensiveIncomeNetOfTax,DepreciationAndAmortization,DepreciationDepletionAndAmortization,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,WeightedAverageNumberOfSharesOutstandingBasic
RAYMOND JAMES FINANCIAL INC,2013,Q1,,,,2131094000,0.01,3.50E+08,143244335.5,,,,,,,,,
RAYMOND JAMES FINANCIAL INC,2014,Q1,,,8135500,,0.01,3.50E+08,144922942.5,,101889000,,,101253500,,,,
RAYMOND JAMES FINANCIAL INC,2015,Q1,,,,2561754000,,,,,,,,,,,,
RAYMOND JAMES FINANCIAL INC,2015,Q3,,,,,0.01,3.50E+08,147576808.5,,,,,,,,,
RAYMOND JAMES FINANCIAL INC,2016,Q1,,,,2511460500,,,149773146,,108010000,,,,,,3457616000,
RAYMOND JAMES FINANCIAL INC,2016,Q2,,,-45401500,2204998000,0.01,,150068554,,,,,,,,,
RAYMOND JAMES FINANCIAL INC,2016,Q3,,,,2340051750,0.01,,,,,,,,,,,
RAYMOND JAMES FINANCIAL INC,2017,Q1,,,,,,3.50E+08,,142237294,,,,,,,3890927500,142584000
RAYMOND JAMES FINANCIAL INC,2017,Q2,,,,,,,,142543738,188663000,,,,,,3931354000,142461000
RAYMOND JAMES FINANCIAL INC,2017,Q3,,,-38871500,,0.01,,,142698924.5,,,,,,,4006832000,142459500
RAYMOND JAMES FINANCIAL INC,2018,Q1,,,-17826500,2936482000,,,,,,,,,,445744500,,
"RCI HOSPITALITY HOLDINGS, INC.",2014,Q3,,1441500,,,0.01,2.00E+07,9794500,9794500,,2824500,,4322250,,,,9645000
"RCI HOSPITALITY HOLDINGS, INC.",2015,Q2,2693500,,97500,,,,,,1894750,,,,,,,
"RCI HOSPITALITY HOLDINGS, INC.",2016,Q1,1902500,1757000,,9884750,,,10143500,,2963500,,,,,,53958000,
"RCI HOSPITALITY HOLDINGS, INC.",2016,Q2,,1834500,54500,10175000,0.01,,10071500,,,2721500,,,5431250,,,
"RCI HOSPITALITY HOLDINGS, INC.",2017,Q2,1947500,3445500,,,,2.00E+07,9763500,9763500,,,,,,143287000,65945500,9907.5
"RCI HOSPITALITY HOLDINGS, INC.",2017,Q3,,,,10156500,,,,,,,,6925500,,143424500,67719500,
"RCI HOSPITALITY HOLDINGS, INC.",2018,Q1,2374000,,,,,,,,,1763500,,,,151334500,,
"RCI HOSPITALITY HOLDINGS, INC.",2018,Q3,2368000,,,,0.01,,,,,3612500,,11028250,16485250,157062500,80949500,9723000
"RCI HOSPITALITY HOLDINGS, INC.",2019,Q3,,,,,0.01,,,,,3797000,,11917000,,,,
"RCI HOSPITALITY HOLDINGS, INC.",2020,Q1,,,,13628000,,,9424500,9424500,,,,,,,,
"REALBIZ MEDIA GROUP, INC",2016,Q1,,,,,,,,,,,,,-770687,31674,-20866358.5,
"REALBIZ MEDIA GROUP, INC",2017,Q1,,21188.5,,206074.75,,2.50E+08,,,,6025,,,,7359,,
"REALESTATE PATHWAYS, INC.",2012,Q1,,,,2472,,,,1300000,,,,,,,,1300000
"REALESTATE PATHWAYS, INC.",2012,Q2,,,,2250.5,,,,,,,,,,,,
RECEIVABLE ACQUISITION & MANAGEMENT CORP,2011,Q3,,,,,,,,17375896,,,,,-52996,,,16948654.25
RECEIVABLE ACQUISITION & MANAGEMENT CORP,2012,Q1,,,,180924.75,,,,17748896,,,,,,,,
RECEIVABLE ACQUISITION & MANAGEMENT CORP,2012,Q2,,,,146279.75,,,,,,,,,,,,
RECEIVABLE ACQUISITION & MANAGEMENT CORP,2012,Q3,,,,,0.001,3.25E+08,17948896,17948896,,,,,,,-549655.5,17896654.25
RECEIVABLE ACQUISITION & MANAGEMENT CORP,2013,Q1,,,,,0.001,3.25E+08,17948896,17948896,,,,,,,,
RECEIVABLE ACQUISITION & MANAGEMENT CORP,2013,Q2,,,,,0.001,3.25E+08,17948896,17948896,,,,,,,,
"RED GIANT ENTERTAINMENT, INC.",2013,Q1,,,,,1.00E-04,9.00E+08,434922000,434922000,,1546,,,,,,
"RED GIANT ENTERTAINMENT, INC.",2014,Q1,,,,,1.00E-04,9.00E+08,446240136.5,,,,,-166325.5,,,,
"RED GIANT ENTERTAINMENT, INC.",2015,Q3,,,,,1.00E-04,6.00E+09,2764530074,2764530074,,5548.25,,,,,,
"RED TRAIL ENERGY, LLC",2012,Q1,8925999.5,,,7270152.75,,,,,,,,2452236,2038328,63445075,,
"RED TRAIL ENERGY, LLC",2012,Q2,5195561.5,,,3752734.25,,,,,,,,,,60081921,,
"RED TRAIL ENERGY, LLC",2012,Q3,5369031.5,5604921.5,,,,,,,,,,,-1449035.75,60133458.5,,40203973
"RED TRAIL ENERGY, LLC",2013,Q1,,,,3129557.5,,,,,,,,,,,,
"RED TRAIL ENERGY, LLC",2013,Q2,,4422907,,1266543.25,,,,,,,1869344.5,,589213.75,54369648,,40182962
"RED TRAIL ENERGY, LLC",2014,Q1,,,,,,,40148160,,,,,,,,,
"RED TRAIL ENERGY, LLC",2014,Q2,3453168.5,5883508.5,,1000,,,,,,,2043182.5,3638864.5,,,,40150055.5
"RED TRAIL ENERGY, LLC",2016,Q1,,,,,,,,,,,,,907578,50416109.5,,
"RED TRAIL ENERGY, LLC",2016,Q3,,,,,,,,,,,,,,,,40148160
"RED TRAIL ENERGY, LLC",2017,Q1,3002636.5,,,,,,,,,,,,1357124,,,40777428.5
"RED TRAIL ENERGY, LLC",2017,Q2,,3958836,,,,,,,,,,,,,,40805041.5
"RED TRAIL ENERGY, LLC",2018,Q1,2997143,3549116.5,,11229429.5,,,,,,,,,-114860,46571064.5,,
"RED TRAIL ENERGY, LLC",2018,Q2,1566263.5,,,,,,,,,,2348847.5,,,,,
"RED TRAIL ENERGY, LLC",2019,Q2,,,,7154240.667,,,40807250,40807250,,,,,,42336178.5,,
"RED TRAIL ENERGY, LLC",2020,Q1,,,,6311749.667,,,40807250,40807250,,,,-998920.4,,39078618.5,,
"REGENICIN, INC.",2011,Q3,,,,,,,,,,,,,-1965480.75,,,
"REGENICIN, INC.",2012,Q1,979183.5,,,,,,,,,,,,-2388865.667,,,
"REGENICIN, INC.",2012,Q3,1213784,,,,0.001,2.00E+08,90250165.5,,,,,,,,-6351623,
"REGENICIN, INC.",2013,Q1,,,,,0.001,2.00E+08,99129824,94701464,,,,,,,,
"REGENICIN, INC.",2013,Q2,,,,,0.001,2.00E+08,100694824,96266464,,,,,-2146728.6,,,
"REGENICIN, INC.",2016,Q3,,,,702402.5,0.001,,,153483050,-36586,,,,,,,153409448.5
"REGENICIN, INC.",2017,Q1,263896,,,,,2.00E+08,,153483050,,,,,-320037.5,,-11940805,153483050
"REGENICIN, INC.",2017,Q2,263937,,,,,,,,-561105.25,,,,,,-12089972.5,153483050
"REGENICIN, INC.",2017,Q3,,,,115426,,,,,,,,563798.25,,,-12189389.5,
"REGENICIN, INC.",2018,Q2,288660.5,,3562.5,,0.001,2.00E+08,,,,,,,,,-12994517,
"REGENICIN, INC.",2019,Q2,67554.5,,,,,,157911410,,,,,,-312794.75,,-13545242.5,153483050
REGIONAL BRANDS INC.,2016,Q2,,,,,0,,9261017,,,,,,-8091.25,,,
REGIS CORP,2013,Q1,55659000,15419500,,,,,,,,,,,,,,
RENEWABLE FUEL CORP,2012,Q1,,6616.5,-501216.5,,,,,,,,,-14323523.25,-17672327,24273542,,
RENEWABLE FUEL CORP,2012,Q2,,6666.5,,,,,,,,,,,,24711057.5,,
RENEWABLE FUEL CORP,2013,Q1,72136,5139,,,1.00E-04,5.00E+08,250495129,,,38548.33333,,-20018638.67,,,,
RENEWABLE FUEL CORP,2014,Q1,,,-244371.5,,1.00E-04,5.00E+08,250495129,,-20728632.67,,,,,,,
RENEWABLE FUEL CORP,2014,Q2,67337.5,4666.5,-274400.5,,,,,213265129,-12870705,,,-12810125.4,,23891164,-67527368,
RENEWABLE FUEL CORP,2014,Q3,,4659.5,-325317,,,5.00E+08,250495129,,-13067322.4,48913.33333,,,-11410823.8,,,
"RESOURCE AMERICA, INC.",2011,Q3,,,-12373500,18789250,,,28464439.5,,,4740500,,,-2371250,9032000,,19310500
"RESOURCE AMERICA, INC.",2012,Q1,,,,15757750,,,,,,,,-191000,-4537500,6118000,-48224000,19358500
"RESOURCE AMERICA, INC.",2012,Q2,,,,15527750,,,,,,,,,,5079000,,
"RESOURCE AMERICA, INC.",2013,Q2,,,,17284500,0.01,4.90E+07,29974540,,153750,,,,,,,
"REV GROUP, INC.",2017,Q2,,202292500,,,,,,63722795,3206750,,,,,,20277000,56133760
"REV GROUP, INC.",2017,Q3,,212322000,,11796750,,,,,,,,13770750,,177028000,26277000,
"REV GROUP, INC.",2018,Q2,202678500,,-346500,,0.001,6.05E+08,,,,,,,18157500,,45540000,
"REV GROUP, INC.",2018,Q3,,,,14350000,,,,,18825000,,,19325000,36325000,229100000,53150000,62909722
"REV GROUP, INC.",2019,Q2,,,,12350000,0.001,6.05E+08,62540603,62540603,,,,,,210400000,,
"REV GROUP, INC.",2020,Q1,,,,35300000,,,62448979,62448979,,,,,,,,
RGC RESOURCES INC,2012,Q1,5147185,6792416.5,,5689819,,,,4628856.5,,,,1902138,3513842.5,,,
RGC RESOURCES INC,2012,Q2,,5632876.5,,,,,,,3775978.75,,,,,,,
RGC RESOURCES INC,2013,Q1,,,,5310037,5,1.00E+07,4684427,,,,1129802,,,,,
RGC RESOURCES INC,2014,Q1,,,-2080791,,5,1.00E+07,4710186.5,,1802721.5,,,,,,,
RGC RESOURCES INC,2014,Q3,,3676567,-1941431.5,6123723.5,,1.00E+07,4713988,,2755639.5,,,,4832532.75,,,
RGC RESOURCES INC,2015,Q1,5439288,7343870.5,,1223209.75,5,,,,,,1276476.5,,3393499,,,
RGC RESOURCES INC,2016,Q2,,,-2252256,853150,,,4753974.5,,3939908.75,,2722768,,6914992.5,,,
RGC RESOURCES INC,2016,Q3,,,,,,,,4759583,2969122.25,,,,,,,4747236.75
RGC RESOURCES INC,2017,Q1,6040327.5,,,,,1.00E+07,,4793996.5,,,,,3740163.5,,25307052,4772337.5
RGC RESOURCES INC,2017,Q2,5481531.5,6897508.5,,718472.75,5,,,7203431.5,4288134.25,,,,,,25391437.5,7172788.25
RGC RESOURCES INC,2018,Q2,5288191,,-1153304,,5,1.00E+07,7608119,,4512687.5,,3366869,,,,26327611,
RGC RESOURCES INC,2019,Q1,6000011.5,7814631,,,5,1.00E+07,8003132.5,8003132.5,2225352,1820176.5,1853125.5,,,,27993962.5,7625915
RGC RESOURCES INC,2019,Q2,,,,1782797,5,1.00E+07,8018943.5,8018943.5,,,,,,,,
RICKS CABARET INTERNATIONAL INC,2012,Q2,,1248000,,14312500,,,,,,,,,,,,
RICKS CABARET INTERNATIONAL INC,2012,Q3,,1117000,23000,,0.01,20000,9625,9625,,2225250,,,8923750,,18424000,9831.75
RICKS CABARET INTERNATIONAL INC,2013,Q1,,,,8256500,0.01,2.00E+07,9560500,,,1220000,,,,,,
RICKS CABARET INTERNATIONAL INC,2013,Q2,,,63000,9032500,0.01,2.00E+07,9533500,9533500,3644750,1861000,,,7890500,86437000,,
RICKS CABARET INTERNATIONAL INC,2013,Q3,,,52500,,,,,,4435250,,,,,,,
RICKS CABARET INTERNATIONAL INC,2014,Q1,,,50000,,0.01,2.00E+07,9532500,,2531000,,,,,,,
RICKS CABARET INTERNATIONAL INC,2014,Q2,1800000,1631000,59000,9257000,,,,9504,4506250,,,4496000,,104512000,35192500,9580750
"RJD GREEN, INC.",2012,Q2,,,,8022.25,,,,,,,,,,,,
"RJD GREEN, INC.",2013,Q1,,,,,0,7.50E+07,37750000,37750000,,,,,,,,
"RJD GREEN, INC.",2013,Q2,,,,,,7.50E+07,343000,705000,,,,,,,,
"RJD GREEN, INC.",2014,Q2,,,,,,,,,,,,-30572.8,,,-80046,
RMR GROUP INC.,2016,Q3,,,,73006000,,,,,,,,,,,,
RMR GROUP INC.,2018,Q1,,,84000,93817000,,,,,,,,,129030500,3137500,,
RMR GROUP INC.,2018,Q3,,,,,,,,,35085250,814250,,35086250,97422750,2994500,130764500,16056250
RMR GROUP INC.,2019,Q2,,,,,,,,,,,,,,2462500,,
"RMR INDUSTRIALS, INC.",2015,Q2,127770,,,,,,,,,,,,,,,
"RMR INDUSTRIALS, INC.",2015,Q3,,,,,,,,,,,,,-776827,,-896616.5,
"RMR INDUSTRIALS, INC.",2016,Q1,594649.5,,,,,,,,,,,,,,2869333,
"ROBBINS & MYERS, INC.",2013,Q1,,,,203464250,,,,,,,,,,,,
ROBERTSON GLOBAL HEALTH SOLUTIONS CORP,2011,Q3,,,,37266,,,,11648669,,,,,-4582348.4,6575.5,,10844366.2
ROBERTSON GLOBAL HEALTH SOLUTIONS CORP,2012,Q1,,29083.5,,43062.25,,,,12352187,,,,-6186967.333,-6014684,7912,,11429169
ROBERTSON GLOBAL HEALTH SOLUTIONS CORP,2012,Q2,,25939,,49141.75,,,,,,,,,,,,
ROBERTSON GLOBAL HEALTH SOLUTIONS CORP,2012,Q3,474712.5,23939,,,0.001,2.00E+07,12642187,12642187,,,,,,8080.5,17828523,11821667.6
ROCHESTER MEDICAL CORPORATION,2012,Q1,2712227.5,8550051,-4350040,6608927,,,,12092492,,,,-122214.5,-242763,12112148.5,,12131696.5
ROCHESTER MEDICAL CORPORATION,2012,Q3,2751219,8775499,-4386070.5,,,4.00E+07,12131933.5,12131933.5,-378750,,,,,11963727.5,13774919.5,12145892
ROCHESTER MEDICAL CORPORATION,2013,Q1,,,,,,4.00E+07,12161050,12161050,,,,,,,,
ROCK-TENN CO,2010,Q3,,,-1.01E+08,,0.01,1.75E+08,,38823438,,,,,,,,
ROCK-TENN CO,2011,Q2,258150000,331800000,-82650000,,0.01,1.75E+08,,39155855,,,,,,,845700000,
ROCK-TENN CO,2011,Q3,,,-77100000,,,,,55054947.5,64250000,,129050000,,135250000,3431800000,,42575000
ROCK-TENN CO,2012,Q2,,1082050000,,,,,,,81475000,,,,,5537550000,,
ROCK-TENN CO,2013,Q1,277280000,415260000,,,,,,,,,,,,,,
ROCK-TENN CO,2013,Q2,292700000,,-494700000,16510000,0.01,1.75E+08,,71408649,92780000,,271300000,,80340000,2234080000,,
ROCKWELL AUTOMATION INC,2010,Q3,355850000,,-763950000,,,,181400000,,,,,,,,,
ROCKWELL AUTOMATION INC,2011,Q2,454200000,,-805750000,,,,181400000,,,,,,,,3012400000,142650000
ROCKWELL AUTOMATION INC,2012,Q1,,,-1010400000,863900000,,,,,,,,166700000,,560250000,,141800000
ROCKWELL AUTOMATION INC,2012,Q2,,,,908600000,,,,,,,,,,563550000,,142650000
ROCKWELL AUTOMATION INC,2014,Q3,,,-997825000,1076150000,,,181400000,,410400000,,,,,,,
ROCKWELL AUTOMATION INC,2016,Q1,,,,1339925000,,,181400000,,163700000,,,,,,5361800000,
ROCKWELL AUTOMATION INC,2016,Q2,,,-1167316667,1354450000,,,181400000,,263100000,,,,,,,
ROCKWELL AUTOMATION INC,2018,Q1,,,-1177450000,1519725000,,,,,,,,,,574850000,,
ROCKWELL COLLINS INC,2010,Q3,3.77E+08,,-1.08E+09,,0.01,1.00E+09,183800000,,,,,,,,,
ROCKWELL COLLINS INC,2012,Q3,442500000,9.68E+08,-1487500000,,0.01,1.00E+09,183800000,,,,,,478500000,7.52E+08,3448500000,149550000
ROCKWELL COLLINS INC,2013,Q1,4.34E+08,938500000,,3.72E+08,0.01,1.00E+09,183800000,,,,,,,,,
ROCKWELL COLLINS INC,2014,Q1,,1082500000,-1.28E+09,375500000,0.01,1.00E+09,183800000,,1.42E+08,,,,213500000,,,137300000
ROCKWELL COLLINS INC,2014,Q2,,,,,0.01,1.00E+09,183800000,,2.28E+08,,,,,,,
ROCKWELL COLLINS INC,2014,Q3,,,-1.27E+09,,0.01,1.00E+09,183800000,,3.21E+08,,,,,,4.32E+09,
ROCKWELL COLLINS INC,2015,Q2,503500000,,-1.37E+09,,,,,,226750000,,,,,,,
ROCKWELL COLLINS INC,2016,Q1,,1.04E+09,,3.06E+08,,,183800000,,150500000,,,,,,5169500000,
ROCKWELL COLLINS INC,2016,Q2,,,-1530500000,289750000,,,163800000,,246250000,,,,396750000,,,
ROCKWELL COLLINS INC,2016,Q3,,,,2.94E+08,,,,,365750000,,,,,,,131300000
ROCKWELL COLLINS INC,2018,Q1,,,-1561500000,483500000,,,,,,,,,,1.40E+09,,
ROCKWELL COLLINS INC,2018,Q3,,,,,0.01,1.00E+09,1.75E+08,,,,,,,1.40E+09,4.15E+09,156550000
"ROCKY MOUNTAIN HIGH BRANDS, INC.",2016,Q3,8713,,,122283.5714,,,,,,,,,,,,
"ROEBLING FINANCIAL CORP, INC.",2012,Q2,,,,5531750,,,,,63250,,,,,,,
ROFIN SINAR TECHNOLOGIES INC,2011,Q3,,,24014000,117375750,,,,,,,9201000,,29749750,58688500,,28678112.5
ROFIN SINAR TECHNOLOGIES INC,2012,Q2,,105132000,,112429000,,,,,,,,,,69573000,,28483251.25
ROFIN SINAR TECHNOLOGIES INC,2012,Q3,,107387000,1100500,,0.01,5.00E+07,32434200,,,,9965000,,32647500,,405756000,28487873
ROFIN SINAR TECHNOLOGIES INC,2013,Q1,,108615000,,110416500,0.01,5.00E+07,32511900,,,,3540000,8487500,,,,
ROFIN SINAR TECHNOLOGIES INC,2013,Q2,,,-6410000,107253250,0.01,5.00E+07,32594425,,9216500,,7199500,,16373750,81049500,,
ROFIN SINAR TECHNOLOGIES INC,2014,Q2,,103519500,15428666.67,122863500,,,,,6545000,,7945500,,11803500,86075000,466157500,28141870.25
ROFIN SINAR TECHNOLOGIES INC,2016,Q1,,89889500,,153505500,,,33216487,,-4879000,,,,,,532507500,
ROFIN SINAR TECHNOLOGIES INC,2016,Q2,,92970500,-47458666.67,152280500,0.01,,33274587,,,,8023500,,10315750,,,
ROMULUS CORP.,2015,Q1,,,,10199.25,,,,,,,,,-11814.5,,,
ROMULUS CORP.,2015,Q3,,,,,,,11020000,,,,,,-11013.5,,-33824.5,
ROMULUS CORP.,2016,Q1,,,,,,,11020000,,,,,,,,-58048,
ROMULUS CORP.,2016,Q2,,,,,0.001,,11020000,,,,,,-11504.25,,,
ROSEWIND CORP,2013,Q1,,,,,0,3.00E+08,4812030,,,,,-102148.2,,,,
ROSEWIND CORP,2013,Q2,,,,,0,3.00E+08,4872735,4872735,,,,,-120701.4,11194,,
ROSEWIND CORP,2014,Q2,8977.5,,,,,,,4886735,,,,-91656.14286,,,-500,
ROTATE BLACK INC,2014,Q1,,,,,0.001,7.50E+07,45990899,,,,,192207.5,,,,
ROTATE BLACK INC,2014,Q2,,,,44643,,,,,,,,330891.75,,,-32882710.5,
RTG VENTURES INC,2012,Q2,,47919,,,,,,,-378653.75,,,,,,,
RTG VENTURES INC,2013,Q1,,,,54072.75,,8.75E+08,7.50E+08,7.50E+08,,70702,,,,,,
"RUBY CREEK RESOURCES, INC.",2012,Q3,481910,,,,,5.00E+08,43644963.5,43644963.5,,,110487.3333,,,1360579,,
RUDDICK CORP,2010,Q3,220101500,,-109644500,32944500,,,,48698814,,,,,,,,
RUDDICK CORP,2011,Q3,,,-123928000,66548000,,,,49023088,,,102711500,,101742250,1068570500,,48345250
"SALLY BEAUTY HOLDINGS, INC.",2010,Q3,208648500,,-26968500,,0.01,4.00E+08,182283500,181934500,,,,,,,,
"SALLY BEAUTY HOLDINGS, INC.",2011,Q1,225323500,,-19166000,,0.01,5.00E+08,182907500,182478500,,,,,81463000,,,
"SALLY BEAUTY HOLDINGS, INC.",2011,Q2,230840000,,-12850000,,0.01,5.00E+08,182974500,182566000,,,,,,174334000,-1047916500,182333000
"SALLY BEAUTY HOLDINGS, INC.",2011,Q3,,,-10761000,48740250,,,,182822500,,,27271750,,202662500,175509500,,182478000
"SALLY BEAUTY HOLDINGS, INC.",2012,Q1,,60214500,,33268714.29,,,,,,,,,,91729000,,183575500
"SALLY BEAUTY HOLDINGS, INC.",2012,Q3,151104571.4,60355500,-21439000,35333230.77,,,,,,,17646428.57,,,106352857.1,-795588000,
"SALLY BEAUTY HOLDINGS, INC.",2013,Q1,172487000,56682500,,,,,,,,,,,,,,
"SALLY BEAUTY HOLDINGS, INC.",2014,Q3,264175000,,-6462000,,0.01,5.00E+08,160298000,,129231500,,37594750,,,,-373166000,
"SALLY BEAUTY HOLDINGS, INC.",2015,Q2,270106500,,-52127500,,,,,,68269500,,,,,,,
"SALLY BEAUTY HOLDINGS, INC.",2016,Q1,278028500,46489000,,126185250,,,150731000,,34815000,,,,,,-226951000,
"SALLY BEAUTY HOLDINGS, INC.",2018,Q2,298860500,,-75991500,,0.01,5.00E+08,126527000,,99409000,,54362500,,,,-264594000,
"SALLY BEAUTY HOLDINGS, INC.",2018,Q3,,,,,0.01,5.00E+08,124968000,124733500,124920500,,82700000,126745750,,305165500,-259238500,130142500
SALLY HOLDINGS LLC,2011,Q3,,,-10761000,48740250,,,,,,,27271000,,206468750,175507500,,
SALON MEDIA GROUP INC,2019,Q2,,,,,0.001,,,151056477,,,,,-949750,321000,-138893500,
SANDERSON FARMS INC,2011,Q2,,84921500,,,1,1.00E+08,22108399.5,22108399.5,,,,,,500694000,467274500,
SANDERSON FARMS INC,2012,Q1,,,,22241750,,,,,,,,-20772500,-30349500,506157000,347554000,22173500
SANDERSON FARMS INC,2013,Q2,78229500,,,,,1.00E+08,22992077,22992077,,,30025000,,,494635000,,22301250
SANDERSON FARMS INC,2014,Q1,,,,,1,1.00E+08,23039445,,,,,10964000,,,,
SANDERSON FARMS INC,2014,Q2,,108782500,,55466000,,,,,,,30071500,43161500,67692250,,541417000,22396750
SANDERSON FARMS INC,2014,Q3,82315000,112105500,,78893500,,1.00E+08,23043736.5,,,,,,,,,
SANDERSON FARMS INC,2015,Q2,,,,,,,,,,,,84960500,,,,22407250
SANDERSON FARMS INC,2015,Q3,56749000,,,,,,22771966,,,,,,181836250,639247500,804557000,
SANDERSON FARMS INC,2016,Q3,,,,,,,,22549766.5,,,,,,,,22201750
SANDERSON FARMS INC,2017,Q1,,,,,,1.00E+08,,,,,,,27848000,,1050571500,22292500
SANDERSON FARMS INC,2017,Q2,,131440000,,,,,,,,,,,,,1081314000,22306250
SANDERSON FARMS INC,2017,Q3,75900500,137676000,,268005000,,,,,,,,122605750,,832296500,1136963500,
SANDERSON FARMS INC,2018,Q2,97558000,,,,1,1.00E+08,,,,,50389500,,,,1314330500,
SANDERSON FARMS INC,2019,Q1,127110500,,,,1,1.00E+08,22126624,22126624,,,27835500,16686500,,,1272063000,22157500
SANDERSON FARMS INC,2019,Q2,,,,241169000,1,1.00E+08,22127012.5,22127012.5,,,,,,1127482500,,
SANDERSON FARMS INC,2020,Q2,,131925000,,93719500,1,1.00E+08,22221747,22221747,,,,-3218333.333,-12679500,,,
SANMINA-SCI CORP,2012,Q2,,971532000,,588066000,,,,,,,,,,582639500,,80642500
SANMINA CORP,2013,Q1,,,,536267000,,,,,,,25162000,4598000,,,,
SANMINA CORP,2013,Q2,894752000,,73207000,481566750,,,,,19479250,,49736000,,55790500,558607500,,
SANMINA CORP,2014,Q1,,,83696000,,,,,,20184000,,,11861000,,,,
SANMINA CORP,2014,Q3,,,86452500,445225000,,,,,41580250,,,,85023750,552185000,,
SANMINA CORP,2015,Q1,1110140000,,,416920500,,,,,,,24008000,,46500000,,,
SANMINA CORP,2015,Q2,,,78878000,,,,,,26609250,,,,,,,
SANMINA CORP,2015,Q3,,,,,,,,,,,73624500,,,,,
SANMINA CORP,2016,Q3,,,,,,,,,50472250,,,,,,,78321500
SANMINA CORP,2017,Q1,1146182500,,,,,,,,,,,,56354500,,,75737500
SANMINA CORP,2017,Q2,1147672000,,,,,,,,51619250,,,,,,,75249750
SANMINA CORP,2017,Q3,1188608000,,,413915250,,,,,,,,66489000,,630188500,,
SANMINA CORP,2018,Q2,1252084000,,77029500,410688250,,,,,2098750,,58875500,,,,,
SANMINA CORP,2019,Q1,1539663000,,,,,,,,-60492000,,29707500,,,,,69954000
SANMINA CORP,2019,Q2,,,,409240000,,,,,,,,,86277250,641407000,,
SANMINA CORP,2019,Q3,,,,,,,,,,,,25581750,,,,69411000
SATUSA CORP,2019,Q2,,,,24724.5,1.00E-04,7.50E+07,12400000,12400000,,,,,,,,
"SAUER ENERGY, INC.",2012,Q1,6091,,,88120.4,,,,76858592.5,,,,,,75771.5,,74224956
"SAUER ENERGY, INC.",2012,Q2,,,,,,,,,,,,,,74154.5,,
"SAUER ENERGY, INC.",2012,Q3,6789,,,,1.00E-04,6.50E+08,80450427.5,80450427.5,,,,,,,-2066699.5,75547657.5
"SAUER ENERGY, INC.",2013,Q1,,,,,,6.50E+08,85353026.6,85353026.6,,,,,,,,
"SAUER ENERGY, INC.",2013,Q2,7487,,,,,,,,,,,,,84242,,90086051
"SAUER ENERGY, INC.",2014,Q1,,,,,1.00E-04,6.50E+08,95000611.5,,-1770806.333,,,,,,,
"SAUER ENERGY, INC.",2014,Q3,,,,144912,,,,,-1946450.6,,,,-1280741,,,
"SAUER ENERGY, INC.",2016,Q1,,,,,,,,,-759033.5,,,,,,,
"SAUER ENERGY, INC.",2016,Q3,,,,113760,1.00E-04,,,177381096,-959675.6667,,,,,,,147966119.2
"SAUER ENERGY, INC.",2017,Q2,,,,41111.25,1.00E-04,,,268557938.4,-542354.7,,,,,,-9989126,215750515.8
"SAUER ENERGY, INC.",2018,Q1,,,,,,,,326865643.5,,,,-369995.5,-233239,47304.33333,-11663338.5,324630445.5
"SAUER ENERGY, INC.",2018,Q2,,,,,,,,,,,,,,43725.4,-11459908.4,
SAVVY BUSINESS SUPPORT INC,2012,Q2,,,,1130.25,,,,,,,,,,,,
SAVVY BUSINESS SUPPORT INC,2013,Q1,,,,,1.00E-04,5.50E+07,3705000,3705000,,,,,,,,
SCHNITZER STEEL INDUSTRIES INC,2011,Q2,105831500,143585500,-638000,,,,,,,,,,,,972484500,27732500
SCHNITZER STEEL INDUSTRIES INC,2012,Q1,,219725000,-1834000,,,,,,,,,12406000,,554058500,,27507000
SCHNITZER STEEL INDUSTRIES INC,2012,Q2,128213000,220029000,,,,,,,,,,,,554067500,,27552750
SCHNITZER STEEL INDUSTRIES INC,2013,Q1,106169000,,,,,,,,,,20622500,2673500,,,,
SCHNITZER STEEL INDUSTRIES INC,2013,Q2,105670500,,-6233000,56396250,,,,,7699500,,41282000,,18734000,565537500,,27056500
SCHNITZER STEEL INDUSTRIES INC,2014,Q1,,,-9724000,,,,,,-4832500,,,-3949500,,,,
SCHNITZER STEEL INDUSTRIES INC,2015,Q1,,172478000,,20938250,,,,,,,,,-1773500,,,
SCHNITZER STEEL INDUSTRIES INC,2015,Q2,88796000,150780500,,16789250,,,,,-111937000,,38959000,,,,,
SCHNITZER STEEL INDUSTRIES INC,2017,Q1,63653000,113308500,-40664500,19149750,,,,,,,13685500,-3311000,-1720500,389285000,476865000,27246500
SCHNITZER STEEL INDUSTRIES INC,2017,Q2,65540000,123371000,,,,,,,,,27047000,,,,,
SCHNITZER STEEL INDUSTRIES INC,2018,Q2,100631000,,-36161000,,,,,,29710000,,24911500,,,,,
SCHNITZER STEEL INDUSTRIES INC,2019,Q1,119365000,176500000,,,,,,,15881500,,12909500,,,,645189500,27600000
"SCHNITZER STEEL INDUSTRIES, INC.",2019,Q2,,,,10047500,,,,,,,,,,422244000,,
